path,class
..\data\images_512x512\Lacanau_2022-03-26_08-30_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-26_12-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-01_08-45_y-512_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-20_15-15_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-25_12-15_y-512_x-512.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-23_18-45_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Prevent_2022-03-12_13-26_y-0_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-21_10-15_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-14_15-41_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-18_15-00_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-02_07-30_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-25_14-30_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-25_09-30_y-512_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-28_08-15_y-512_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-12_13-48_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-28_10-15_y-512_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-30_07-46_y-512_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-27_13-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-22_14-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-30_16-16_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-27_08-00_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-19_15-15_y-512_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-26_08-45_y-0_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-19_10-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-25_16-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-23_16-00_y-512_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-25_18-15_y-512_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-24_13-15_y-0_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-04-01_11-01_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-29_09-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-12_14-41_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-22_09-30_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-30_12-16_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-28_13-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-28_18-15_y-512_x-512.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-28_09-00_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-30_18-46_y-512_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-11_18-43_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-24_18-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-01_06-01_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-29_16-45_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_15-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-24_18-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-25_17-00_y-512_x-512.jpg,1.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-28_13-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_08-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-30_15-01_y-0_x-512.jpg,1.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-12_14-21_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-12_13-04_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-31_08-46_y-512_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-30_15-46_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-12_13-17_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-26_12-30_y-512_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-19_14-45_y-0_x-0.jpg,1.0
..\data\images_512x512\Biarritz_2022-04-02_10-45_y-512_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-23_18-00_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-04-01_05-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Prevent_2022-03-12_14-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-04-02_10-30_y-512_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-17_16-15_y-0_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-29_09-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-31_09-31_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-17_18-15_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-28_08-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-26_09-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-27_10-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-30_18-46_y-512_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-31_16-45_y-0_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-27_12-15_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-21_13-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-24_09-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-22_15-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-27_16-15_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-21_14-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-27_18-30_y-512_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-23_13-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Prevent_2022-03-17_17-15_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-19_10-45_y-512_x-1024.jpg,1.0
..\data\images_512x512\Capbreton_Prevent_2022-03-14_18-40_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-30_17-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-29_12-30_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-24_14-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-23_16-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-23_13-00_y-512_x-1024.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-23_13-15_y-512_x-1024.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-24_08-00_y-512_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-31_15-30_y-512_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-12_18-41_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-12_18-41_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-29_11-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-24_13-45_y-512_x-1024.jpg,1.0
..\data\images_512x512\Lacanau_2022-03-25_09-15_y-0_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-17_15-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-26_12-00_y-512_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-12_15-21_y-512_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-30_17-00_y-512_x-1024.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-24_11-30_y-512_x-1024.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-28_16-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-24_16-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-29_10-15_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-31_05-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-20_08-45_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-23_17-45_y-512_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-27_08-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-17_18-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-25_13-00_y-0_x-1024.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-20_18-45_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-01_13-30_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Prevent_2022-03-17_18-15_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-27_16-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-29_12-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-12_17-21_y-512_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-12_17-21_y-0_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-19_15-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_14-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-24_09-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-20_11-15_y-512_x-1024.jpg,1.0
..\data\images_512x512\Capbreton_Prevent_2022-03-11_18-54_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-19_17-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Prevent_2022-03-12_14-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-14_18-01_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-19_10-45_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-31_12-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-18_15-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-29_17-15_y-512_x-1024.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-27_08-45_y-512_x-1024.jpg,1.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_14-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-14_18-21_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-22_08-30_y-512_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-24_16-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-19_15-45_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-19_13-00_y-512_x-512.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-31_06-45_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-19_18-15_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-14_16-41_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_11-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-17_18-45_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-30_12-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-28_14-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-04-02_07-30_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-25_11-45_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-29_09-30_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-26_09-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-24_16-45_y-512_x-512.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-31_13-46_y-512_x-1024.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-30_05-16_y-0_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-14_13-41_y-512_x-512.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-28_09-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-14_18-21_y-512_x-512.jpg,1.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-31_09-31_y-512_x-0.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-25_18-30_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-02_10-45_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-25_11-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-13_13-41_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-22_09-00_y-512_x-512.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-25_09-45_y-512_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-19_14-30_y-512_x-1024.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-19_11-15_y-512_x-512.jpg,1.0
..\data\images_512x512\Lacanau_2022-03-27_17-45_y-0_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-30_13-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-28_16-30_y-512_x-1024.jpg,1.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-23_12-15_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-04-01_07-00_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-15_11-45_y-512_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-13_13-21_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-20_10-45_y-512_x-0.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-26_08-15_y-512_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-19_18-15_y-512_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-31_15-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-26_08-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-23_11-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-23_09-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-17_16-15_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-24_10-15_y-512_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-26_11-15_y-512_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-04-02_07-45_y-512_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-24_11-30_y-512_x-1024.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-24_16-04_y-0_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-21_15-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-28_09-45_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-20_10-15_y-512_x-1024.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-31_15-00_y-512_x-1024.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-23_12-15_y-0_x-0.jpg,1.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-20_15-30_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-21_09-45_y-512_x-0.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-19_14-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-25_08-00_y-0_x-512.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-31_18-30_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-26_18-30_y-512_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-24_17-15_y-0_x-0.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-12_13-07_y-0_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-22_18-45_y-512_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-30_16-16_y-512_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-29_08-45_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-19_09-15_y-512_x-512.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-12_13-44_y-512_x-0.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-29_14-00_y-512_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-29_15-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-27_08-45_y-512_x-0.jpg,1.0
..\data\images_512x512\Capbreton_Santosha_2022-03-31_13-46_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-02_06-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-22_10-15_y-512_x-1024.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-20_08-15_y-512_x-1024.jpg,1.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-17_16-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-24_11-30_y-512_x-512.jpg,1.0
..\data\images_512x512\Biarritz_2022-04-02_12-15_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-26_11-45_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-28_11-00_y-512_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-30_10-46_y-512_x-512.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-01_18-15_y-512_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-28_14-45_y-512_x-1024.jpg,0.0
..\data\images_512x512\Lacanau_2022-03-28_08-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-12_13-02_y-0_x-512.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-23_13-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-21_12-00_y-512_x-512.jpg,1.0
..\data\images_512x512\Biarritz_2022-03-30_14-45_y-0_x-1024.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-04-02_11-15_y-0_x-1024.jpg,0.0
..\data\images_512x512\Biarritz_2022-03-26_10-00_y-0_x-0.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-27_17-45_y-512_x-512.jpg,1.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-18_09-45_y-512_x-0.jpg,0.0
..\data\images_512x512\Anglet_GrandePlage_2022-03-25_11-30_y-0_x-1024.jpg,0.0
..\data\images_512x512\Capbreton_Santosha_2022-03-30_08-46_y-0_x-512.jpg,0.0
